StationID,MasterID,Latitude,Longitude,COMID
114DCURxx,114DCURxx,38.95381,-123.14825,8270515
114DLCMRx,114DLCMRx,39.12817,-123.22369,8268463
114DLCURx,114DLCURx,39.12889,-123.23028,8268463
114EACR6x,114EACR6x,38.5923,-123.0627,8270945
114FCA002,114FCA002,38.50417,-122.78806,8272561
114FCA031,114FCA031,38.81627,-123.01119,8270711
114FCA199,114FCA199,38.83,-122.90806,8271877
114FCASCx,114FCASCx,38.82916,-122.91117,8271877
114GCR2xx,114GCR2xx,39.37343,-120.02822,8933742
114JVCLRx,114JVCLRx,38.40108,-122.86244,8273317
114MA2364,114MA2364,38.63048,-122.76788,8272313
114MLCURx,114MLCURx,39.13111,-123.13444,8268459
114MRCMRx,114MRCMRx,39.06608,-123.12056,8268617
114PS0088,114PS0088,38.5574,-123.0942,8270989
114PS0145,114PS0145,38.8936,-123.07073,8270595
114PS0149,114PS0149,38.43414,-122.67608,948010117
114PS0152,114PS0152,38.46342,-123.00871,8272771
114PS0209,114PS0209,38.78599,-123.15521,8271511
114PS0229,114PS0229,38.61538,-122.78391,8272309
114SQCURx,114SQCURx,38.818,-122.80067,8271879
114WE0614,114WE0614,38.53917,-123.07056,8271033
114WE0810,114WE0810,38.87519,-122.88173,8271831
114WE1048,114WE1048,38.50417,-122.7871,8272561
114WER118,114WER118,38.5875,-123.06222,8270945
115CE0239,115CE0239,38.25666,-122.79361,3880096
115EBAG01,115EBAG01,38.3462,-122.91565,3879996
115SALG01,115SALG01,38.34327,-122.95891,3879994
115WE0835,115WE0835,38.36687,-122.95615,3879986
201AHO350,201AHO350,37.94495,-122.74306,5330515
201AUD020,201AUD020,37.93081,-122.68037,5330501
201CE0039,201CE0039,38.015,-122.68805,5329619
201CHE300,201CHE300,38.03977,-122.74191,5329569
201EAS020,201EAS020,37.89844,-122.64174,5330547
201EAS050,201EAS050,37.90023,-122.63733,5330547
201LAG130,201LAG130,38.08064,-122.7845,5329511
201LAG150,201LAG150,38.06669,-122.70264,5329505
201LAG160,201LAG160,38.06156,-122.69958,5329533
201LAG165,201LAG165,38.05839,-122.76522,5329831
201LAG180,201LAG180,38.03722,-122.74611,5329831
201LAG18X,201LAG18X,38.06485,-122.80336,5329511
201LAG190,201LAG190,38.02964,-122.73636,5329835
201LAG210,201LAG210,38.01861,-122.73306,5329621
201LAG220,201LAG220,38.01611,-122.72297,5329621
201LAG240,201LAG240,38.00703,-122.70569,5329619
201LAG270,201LAG270,38.01356,-122.66664,5329609
201LAG290,201LAG290,38.01305,-122.65055,5329609
201LAG300,201LAG300,38.01275,-122.64689,5329625
201LAG320,201LAG320,38.00453,-122.70878,5329629
201LAG330,201LAG330,37.99194,-122.66972,5330439
201LAG335,201LAG335,37.99222,-122.66,5330439
201LAG380,201LAG380,37.96722,-122.64945,5330451
201LAG390,201LAG390,37.9325,-122.63555,5330525
201LAGCPT,201LAGCPT,38.01923,-122.729,5329621
201MRS020,201MRS020,37.9201,-122.66887,5330517
201PNG010,201PNG010,37.91971,-122.69181,5330519
201PNG050,201PNG050,37.95451,-122.718,5330471
201RDW040,201RDW040,37.86306,-122.57202,5330719
201RDW060,201RDW060,37.86369,-122.57514,5330719
201RDW080,201RDW080,37.87717,-122.58114,5330719
201RDW100,201RDW100,37.88444,-122.57005,5330555
201RDW120,201RDW120,37.90023,-122.57811,5330551
201ROD040,201ROD040,37.83904,-122.51644,5330581
201ROD050,201ROD050,37.83291,-122.51613,5330723
201TVY030,201TVY030,37.84857,-122.54224,5330577
201WBB010,201WBB010,37.88671,-122.62655,5330553
201WLK010,201WLK010,38.2245,-122.90113,5329305
201WLK030,201WLK030,38.24111,-122.90431,5329291
201WLK050,201WLK050,38.24353,-122.89806,5329291
201WLK100,201WLK100,38.2145,-122.85794,5329313
201WLK120,201WLK120,38.20764,-122.79456,5329817
201WLK130,201WLK130,38.20639,-122.76975,5329321
201WLK140,201WLK140,38.21192,-122.86006,5329339
201WLK160,201WLK160,38.17545,-122.82044,5329357
201WLK170,201WLK170,38.16445,-122.81136,5329375
201WLK180,201WLK180,38.16175,-122.78033,5329363
201WLK190,201WLK190,38.16458,-122.77194,5329363
201WLK200,201WLK200,38.15758,-122.78408,5329373
201WLK230,201WLK230,38.14342,-122.72472,5329397
201WLK240,201WLK240,38.13589,-122.70914,5329435
202BUT010,202BUT010,37.25003,-122.39553,17688327
202BUT020,202BUT020,37.23395,-122.36719,17688327
202BUT030,202BUT030,37.22474,-122.33254,17688195
202BUT040,202BUT040,37.24195,-122.31719,17688195
202BUT050,202BUT050,37.20607,-122.33483,17688205
202BUT480,202BUT480,37.21363,-122.31411,17688205
202BUT600,202BUT600,37.2159,-122.30727,17688205
202BUT850,202BUT850,37.22664,-122.2412,17688325
202DRY010,202DRY010,37.35917,-122.39124,17688285
202LAH950,202LAH950,37.38878,-122.28429,17687887
202MIC150,202MIC150,37.45232,-122.39242,17687849
202PES050,202PES050,37.258,-122.39492,17688301
